,City,Country,Date,Latitude,Longitude,Temperature,Max. Temp.,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,1600108947,-33.59,26.89,14.68,14.68,67,0,8.78
1,Dunda,TZ,1600108947,-8.12,34.25,22.13,22.13,49,57,1.87
2,Preston,GB,1600108862,53.77,-2.72,20.56,22.0,60,80,2.6
3,Ribeira Grande,PT,1600108948,38.52,-28.7,21.0,21.0,52,20,7.7
4,Mossamedes,AO,1600108948,-15.2,12.15,18.59,18.59,84,100,3.07
5,Sisimiut,GL,1600108948,66.94,-53.67,3.74,3.74,68,5,2.35
6,Adrar,MR,1600108949,20.5,-10.07,40.29,40.29,10,76,2.81
7,Bluff,NZ,1600108949,-46.6,168.33,5.56,5.56,90,70,5.36
8,Arraial do Cabo,BR,1600108949,-22.97,-42.03,27.86,29.0,65,0,7.2
9,Saint-Philippe,RE,1600108950,-21.36,55.77,16.04,19.0,55,75,11.8
10,Portland,US,1600108880,45.52,-122.68,16.0,16.0,82,90,1.1
11,Ponta do Sol,PT,1600108950,32.67,-17.1,22.13,24.0,73,20,5.1
12,Carnarvon,AU,1600108951,-24.87,113.63,21.0,21.0,100,46,5.7
13,Orbetello,IT,1600108951,42.44,11.22,26.11,26.67,78,100,0.5
14,Le Vauclin,MQ,1600108951,14.55,-60.84,30.66,32.0,66,20,5.1
15,Hilo,US,1600108952,19.73,-155.09,21.6,26.0,69,1,1.5
16,Saldanha,ZA,1600108952,-33.01,17.94,11.0,11.0,71,89,2.6
17,Touros,BR,1600108952,-5.2,-35.46,27.0,27.0,69,75,7.2
18,Quatre Cocos,MU,1600108953,-20.21,57.76,20.0,20.0,52,40,7.2
19,Khatanga,RU,1600108953,71.97,102.5,7.56,7.56,83,70,1.45
20,Busselton,AU,1600108954,-33.65,115.33,11.58,13.33,58,0,3.58
21,Jamestown,US,1600108890,42.1,-79.24,16.41,16.67,59,20,5.1
22,Albany,US,1600108954,42.6,-73.97,20.76,21.67,40,0,0.45
23,Fairbanks,US,1600108875,64.84,-147.72,6.95,8.33,86,90,0.71
24,Punta Arenas,CL,1600108954,-53.15,-70.92,6.83,7.0,65,40,14.4
25,Kendari,ID,1600108955,-3.94,122.5,21.03,21.03,89,42,1.81
26,Butaritari,KI,1600108955,3.07,172.79,28.53,28.53,71,100,8.7
27,Clyde River,CA,1600108956,70.47,-68.59,5.0,5.0,80,75,5.1
28,Sitka,US,1600108956,57.05,-135.33,13.0,13.0,62,1,1.83
29,Tezu,IN,1600108956,27.92,96.17,23.95,23.95,87,99,1.27
30,Thompson,CA,1600108957,55.74,-97.86,8.0,8.0,81,90,1.5
31,Nacala,MZ,1600108957,-14.54,40.67,22.25,22.25,84,0,2.0
32,Saint Paul Harbor,US,1600108957,57.79,-152.41,11.0,11.0,76,1,0.37
33,Corn Island,NI,1600108958,12.17,-83.04,29.43,29.43,70,100,3.99
34,Ostrovnoy,RU,1600108958,68.05,39.51,8.69,8.69,91,99,1.74
35,Ushuaia,AR,1600108958,-54.8,-68.3,6.0,6.0,61,20,2.1
36,Kahului,US,1600108959,20.89,-156.47,25.45,27.0,57,40,3.1
37,Sola,VU,1600108959,-13.88,167.55,27.0,27.0,78,40,5.1
38,Gazojak,TM,1600108959,41.19,61.4,20.41,20.41,24,0,2.01
39,Port Lincoln,AU,1600108960,-34.73,135.87,11.1,11.1,86,99,3.46
40,Victoriaville,CA,1600108960,46.05,-71.97,13.9,14.44,60,89,3.13
41,Gwadar,PK,1600108960,25.12,62.33,29.67,29.67,63,81,2.49
42,Coquimbo,CL,1600108961,-29.95,-71.34,14.0,14.0,76,75,6.7
43,Hobart,AU,1600108706,-42.88,147.33,11.42,11.67,62,90,5.1
44,Hirado,JP,1600108962,33.36,129.55,22.78,22.78,83,89,1.79
45,Pisco,PE,1600108962,-13.7,-76.22,19.52,20.0,72,98,4.1
46,Port Augusta,AU,1600108962,-32.5,137.77,9.07,9.44,93,0,2.6
47,Tambopata,PE,1600108962,-12.73,-69.18,34.0,34.0,52,40,1.5
48,Rimbey,CA,1600108963,52.63,-114.24,7.88,8.0,81,90,3.6
49,Cape Town,ZA,1600108805,-33.93,18.42,12.05,14.44,81,40,2.6
50,Torbay,CA,1600108964,47.67,-52.73,17.28,18.33,100,90,8.7
51,Atuona,PF,1600108964,-9.8,-139.03,25.49,25.49,76,1,7.65
52,Qaanaaq,GL,1600108964,77.48,-69.36,-0.93,-0.93,94,90,4.0
53,Rikitea,PF,1600108964,-23.12,-134.97,23.1,23.1,80,0,5.55
54,Vaini,TO,1600108965,-21.2,-175.2,21.0,21.0,83,75,2.6
55,San Francisco,US,1600108965,37.77,-122.42,16.98,18.33,72,90,3.1
56,Neiafu,TO,1600108966,-18.65,-173.98,23.0,23.0,69,75,2.6
57,Alofi,NU,1600108966,-19.06,-169.92,22.0,22.0,78,75,3.6
58,Lompoc,US,1600108966,34.64,-120.46,15.7,16.0,77,90,1.5
59,Mount Gambier,AU,1600108966,-37.83,140.77,8.0,8.0,93,90,2.6
60,Castro,BR,1600108967,-24.79,-50.01,28.88,28.88,39,99,2.02
61,Zhanakorgan,KZ,1600108967,43.91,67.25,20.4,20.4,30,0,3.55
62,Sørland,NO,1600108967,67.67,12.69,10.0,10.0,87,75,3.6
63,Buraidah,SA,1600108678,26.33,43.98,34.0,34.0,15,0,1.0
64,Bereket,TM,1600108968,39.24,55.52,23.28,23.28,40,0,2.86
65,Mount Isa,AU,1600108968,-20.73,139.5,21.0,21.0,30,0,2.1
66,Yellowknife,CA,1600108952,62.46,-114.35,7.33,7.78,52,40,6.7
67,Okhotsk,RU,1600108969,59.38,143.3,10.79,10.79,79,60,1.45
68,Mataura,NZ,1600108969,-46.19,168.86,5.56,5.56,90,24,5.36
69,Benidorm,ES,1600108970,38.54,-0.13,24.07,25.0,74,98,0.45
70,Bethel,US,1600108970,41.37,-73.41,22.45,23.33,49,20,6.2
71,Plovdiv,BG,1600108970,42.15,24.75,24.96,26.0,33,1,3.6
72,Tuktoyaktuk,CA,1600108971,69.45,-133.04,2.0,2.0,93,90,4.1
73,Bacolod City,PH,1600108971,10.67,122.95,24.64,24.64,89,100,1.48
74,Fortuna,US,1600108971,40.6,-124.16,15.14,16.11,87,40,2.1
75,East London,ZA,1600108972,-33.02,27.91,14.0,14.0,67,0,5.1
76,Raja,SS,1600108972,8.46,25.68,21.75,21.75,94,100,1.07
77,Puerto Ayora,EC,1600108973,-0.74,-90.35,22.56,25.0,65,20,8.2
78,Husavik,IS,1600108973,66.04,-17.34,10.0,10.0,71,75,1.0
79,New Norfolk,AU,1600108973,-42.78,147.06,10.3,11.67,64,21,2.68
80,Loa Janan,ID,1600108973,-0.58,117.09,23.66,23.66,94,100,1.79
81,Lakeland,US,1600108944,28.04,-81.95,28.75,31.0,78,5,2.87
82,Severo-Kuril'sk,RU,1600108974,50.68,156.12,9.96,9.96,84,16,5.97
83,Tasiilaq,GL,1600108974,65.61,-37.64,-1.45,-1.45,98,62,1.01
84,Ojinaga,MX,1600108975,29.57,-104.42,19.0,19.0,100,90,2.6
85,Rewāri,IN,1600108696,28.18,76.62,31.36,32.78,79,20,1.7
86,Narsaq,GL,1600108975,60.92,-46.05,7.0,7.0,36,75,1.5
87,Kaohsiung City,TW,1600108628,22.62,120.31,27.68,28.33,83,40,1.5
88,Kavieng,PG,1600108976,-2.57,150.8,28.11,28.11,78,97,6.47
89,Vila Velha,BR,1600108880,-20.33,-40.29,26.21,26.67,57,0,7.7
90,Kumul,CN,1600108745,42.8,93.45,17.84,17.84,24,0,2.96
91,George Town,MY,1600108974,5.41,100.34,26.83,27.0,83,20,0.98
92,Sturgis,US,1600108977,41.8,-85.42,20.17,20.56,64,75,2.1
93,Lüderitz,NA,1600108977,-26.65,15.16,14.27,14.27,61,0,10.62
94,Bambous Virieux,MU,1600108978,-20.34,57.76,20.0,20.0,52,40,7.2
95,Owen Sound,CA,1600108978,44.57,-80.94,14.74,15.56,58,20,2.6
96,Margate,GB,1600108978,51.38,1.39,19.17,20.0,65,0,0.45
97,Hasaki,JP,1600108748,35.73,140.83,21.04,21.11,94,75,3.6
98,Mar del Plata,AR,1600108979,-38.0,-57.56,16.0,16.0,25,0,3.6
99,San Cristobal,VE,1600108979,7.77,-72.22,35.0,35.0,44,40,5.1
